,datetime,code,open,volume,amt,open_interest,index,index_smooth
4006,2020/1/2 13:46,IF2006.CFE,4181.6,1,1254720,14297,4154.59,4157.263724
4007,2020/1/2 13:47,IF2006.CFE,4182.2,16,20070840,14297.54667,4154.72,4157.265523
4008,2020/1/2 13:48,IF2006.CFE,4182,4,5018220,14300.96296,4155.22,4157.273724
4009,2020/1/2 13:49,IF2006.CFE,4181.8,9,11296140,14302.13725,4155.15,4157.28954
4010,2020/1/2 13:50,IF2006.CFE,4185.2,5,6280080,14306.75,4155.51,4157.315816
4011,2020/1/2 13:51,IF2006.CFE,4186,11,13816920,14313.25,4159.04,4157.335439
4012,2020/1/2 13:52,IF2006.CFE,4188,11,13812780,14320.2449,4159.63,4157.344728
4013,2020/1/2 13:53,IF2006.CFE,4187,8,10042800,14327.02857,4158.93,4157.35046
4014,2020/1/2 13:54,IF2006.CFE,4185,1,1255920,14330.44444,4158.24,4157.347071
4015,2020/1/2 13:55,IF2006.CFE,4186.4,7,8793000,14332.47917,4158.4,4157.333305
4016,2020/1/2 13:56,IF2006.CFE,4187.2,11,13815420,14337.64103,4158.4,4157.321339
4017,2020/1/2 13:57,IF2006.CFE,4186,4,5024040,14339.63636,4158.12,4157.309289
4018,2020/1/2 13:58,IF2006.CFE,4187.6,33,41476500,14353.24051,4158.32,4157.293096
4019,2020/1/2 13:59,IF2006.CFE,4192,30,37742640,14374.96591,4159.32,4157.291967
4020,2020/1/2 14:00,IF2006.CFE,4194.6,6,7545000,14390.66667,4161.42,4157.286025
4021,2020/1/2 14:01,IF2006.CFE,4190.8,4,5029500,14393.6875,4162.14,4157.279121
4022,2020/1/2 14:02,IF2006.CFE,4191.6,22,27650580,14394.77419,4162.55,4157.259414
4023,2020/1/2 14:03,IF2006.CFE,4188.4,5,6281520,14399.89063,4162.06,4157.239833
4024,2020/1/2 14:04,IF2006.CFE,4187.8,7,8797380,14405.10417,4160.99,4157.21682
4025,2020/1/2 14:05,IF2006.CFE,4188.6,8,10054680,14409.50633,4160.14,4157.171548
