,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account,,,,,,,
166,1366,46:00.0,4581.2,4632,-50.8,-62.27101248,-62.28376353,11.47101248,3,-1,0,0,-1.2,-74.0676,,,,,,,
167,1367,47:00.0,4581.2,4631.6,-50.4,-62.24993065,-62.28043297,11.84993065,3,-1,0,0,-1.6,-74.4676,,,,,,,
168,1368,48:00.0,4581.2,4632.2,-51,-62.22829404,-62.277602,11.22829404,3,-1,0,0,-1,-73.8676,,,,,,,
169,1369,49:00.0,4585.4,4635.4,-50,-62.20443828,-62.27327227,12.20443828,3,-1,0,0,-2,-74.8676,,,,,,,
170,1370,50:00.0,4585,4635,-50,-62.1814147,-62.26977519,12.1814147,3,-1,0,0,-2,-74.8676,,,,,,,
171,1371,51:00.0,4584.2,4633.8,-49.6,-62.15672677,-62.2674438,12.55672677,3,-1,0,0,-2.4,-75.2676,,,,,,,
172,1372,52:00.0,4584.2,4633,-48.8,-62.13259362,-62.26244796,13.33259362,3,-1,0,0,-3.2,-76.0676,,,,,,,
173,1373,53:00.0,4588.8,4639,-50.2,-62.11012483,-62.2572856,11.91012483,3,-1,0,0,-1.8,-74.6676,,,,,,,
174,1374,54:00.0,4590.8,4639.6,-48.8,-62.08710125,-62.25262281,13.28710125,3,-1,0,0,-3.2,-76.0676,,,,,,,
175,1375,55:00.0,4590.4,4639.8,-49.4,-62.06352288,-62.24845962,12.66352288,3,-1,0,0,-2.6,-75.4676,,,,,,,
176,1376,56:00.0,4586,4634.8,-48.8,-62.03911234,-62.2429642,13.23911234,3,-1,0,0,-3.2,-76.0676,,,,,,,
177,1377,57:00.0,4587,4637,-50,-62.01664355,-62.23846794,12.01664355,3,-1,0,0,-2,-74.8676,,,,,,,
178,1378,58:00.0,4584.4,4634.4,-50,-61.99472954,-62.23330558,11.99472954,3,-1,0,0,-2,-74.8676,,,,,,,
179,1379,59:00.0,4584,4632.6,-48.6,-61.97309293,-62.22814321,13.37309293,3,-1,0,0,-3.4,-76.2676,,,,,,,
180,1380,00:00.0,4582.2,4631,-48.8,-61.95090153,-62.22248127,13.15090153,3,-1,0,0,-3.2,-76.0676,,,,,,,
181,1381,01:00.0,4581.8,4630.6,-48.8,-61.92843273,-62.21781848,13.12843273,3,-1,0,0,-3.2,-76.0676,,,,,,,
182,1382,02:00.0,4578.2,4628.2,-50,-61.90485437,-62.21448793,11.90485437,3,-1,0,0,-2,-74.8676,,,,,,,
183,1383,03:00.0,4582.6,4631,-48.4,-61.88183079,-62.21032473,13.48183079,3,-1,0,0,-3.6,-76.4676,,,,,,,
184,1384,04:00.0,4582.6,4631,-48.4,-61.85797503,-62.20566195,13.45797503,3,-1,0,0,-3.6,-76.4676,,,,,,,
185,1385,05:00.0,4582.6,4630,-47.4,-61.83245492,-62.19950042,14.43245492,3,-1,0,0,-4.6,-77.4676,,,,,,,
186,1386,06:00.0,4582.6,4629.6,-47,-61.80693481,-62.19250624,14.80693481,3,-1,0,0,-5,-77.8676,,,,,,,
187,1387,07:00.0,4584.2,4632.6,-48.4,-61.78363384,-62.18651124,13.38363384,3,-1,0,0,-3.6,-76.4676,,,,,,,
188,1388,08:00.0,4583.8,4629.6,-45.8,-61.75700416,-62.17801832,15.95700416,3,-1,0,0,-6.2,-79.0676,,,,,,,
189,1389,09:00.0,4587.2,4635.6,-48.4,-61.73398058,-62.17202331,13.33398058,3,-1,0,0,-3.6,-76.4676,,,,,,,
190,1390,10:00.0,4597.8,4643,-45.2,-61.7073509,-62.16386345,16.5073509,3,-1,0,0,-6.8,-79.6676,,,,,,,
191,1391,11:00.0,4599.4,4647,-47.6,-61.68266297,-62.15736886,14.08266297,3,-1,0,0,-4.4,-77.2676,,,,,,,
